ID	spreader	Tweets
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	#HASHTAG# por esos momentos de alegría, lágrimas y risas. Saludos desde Veracruz.#USER#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Un Puño de Tierra (cover) - Cristhian Olivo #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	RT #USER#: Lo habéis adivinado. Es rubia jajajaja #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Saludos mi gente!!
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Ya estamos en la cabina mi gente!!...recuerda hoy te espero en punto de las 8 de la noche para hacer “La Jalada de Noche” solo por #USER# 
#HASHTAG# #HASHTAG# #HASHTAG#me #HASHTAG# #HASHTAG#… #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Muchas gracias a JERE y su piano digital por sus felicitaciones. #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Muchas gracias a Nelson Kanzela por sus felicitaciones. #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Toque de queda en Sayula por inseguridad - Agencia Imagen del Golfo #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Después de la entrevista con mario_polo31 
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Recuerda escucharme de lunes a viernes de 8 a 10 de la noche en el programa favorito de todas las noches “La Jalada de Noche” solo por #HASHTAG# 

En dos horas podrás pedirme toda tu… #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Desmienten a fiscal familiares de Lizbeth Campechano, aún no regresa a casa - Plumas libres #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Río de sangre en Siria, pero no importa; no es París, no es Niza #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Hoy te regalando BOLETOS para el Gran Sorteo CANACO 2018...la dinámica será muy sencilla solo tienes que llamar a cabina al 22-96-90-42-67 y decirme 3 nombres de las marcas participantes de este gran sorteo.... #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Participa conmigo en punto de las 8 de la noche!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Los conoces?...con qué nombre los conoces! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	RT #USER#: #HASHTAG# ingresara esta tarde al SW del Golfo de México, probable impacte entre el norte-centro de #HASHTAG#, alerta Verde #HASHTAG#…
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Si es gordito...Es el indicado #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Salgo del Aire - ¡Gracias por tanto! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Anoche en la Colonia Carranza
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Gracias por las felicitaciones #USER# #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Mi gente ya llegamos...recuerda que tenemos una cita en punto de las 8 de la noche en #HASHTAG# manda tus saludos y pide tus canciones favoritas al 2294465333 “La Jalada de… #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Críticos de gran categoría y #USER#  me cae bien, #USER# eso es todo. Esta generación de #USER# será excelente.
#USER#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Saludos mi gente!!
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"RT #USER#: Sintoniza tu música preferida en La Jarocha FM.

Ingresa a cualquiera de los siguientes enlaces y escúchanos!!...... ht…"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Esto es talento de producción 
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Información del espectáculo solo en #USER# con el bueno humor de sus conductores #USER# #USER# #USER# #USER# #USER#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Gracias!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Gracias por las felicitaciones #USER# #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Atletas mexicanos tuvieron que dormir en un parque por falta de dinero. Fueron echados del hotel #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Mi gente!!!...hoy no habrá programa, nos vamos al aniversario de La Poderosa 106.9FM...así que no se pierdan las transmisiones en vivo por Facebook!!
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	En unos minutos más entramos al aire en #HASHTAG#, sintoniza la Cadena #HASHTAG# en el 96.5FM Veracruz o... #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Deliciosas!!....las extraño #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Muchas gracias a Grupo SUPER LAMAS por sus felicitaciones #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Ya casi nos vamos! — estoy viajando a Cancún desde Aeropuerto Internacional General Heriberto Jara #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	RT #USER#: #HASHTAG# a 72h. Lunes c/viento #HASHTAG# fresco a fuerte y lluvias en áreas marítimas-zona sur, mar-miér efectos menor…
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Últimos pases dobles mi gente!!...muy atentos a las dinámicas para que te vayas a bailar este sábado 30 de marzo en la Colonia Progreso.
#HASHTAG# #HASHTAG# #HASHTAG#me #HASHTAG# #HASHTAG# #HASHTAG#… #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Entrevista con Alejandra Bogue con su personaje Bety BO5 #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Espectacular tu voz #USER#, fue un gusto conocerte. El mejor de los éxitos!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"RT #USER#: Algunos semáforos de una de las Avenidas más transitadas de la ciudad están fuera de servicio!!
#USER# #USER#…"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Gracias a tod#USER#!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Gracias por sus felicitaciones #USER# #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Ya arrancamos con “La Jalada de Noche” recuerda que te estaré acompañando hasta las 10 de la noche...sintoniza #HASHTAG# y pide tus rolas favoritas al WhatsApp 2294465333
#HASHTAG# #HASHTAG# #HASHTAG#me #HASHTAG#... #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Ya están listos!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"RT #USER#: *𝗣𝗨𝗕𝗟𝗜𝗖𝗜𝗗𝗔𝗗*

¿BUSCAS SUBLIMACIÓN E IMPRESIÓN EN ALTA CALIDAD?

Comunícate al 22-91-45-93-03 y 22-91-72-36-53 y pide tu co…"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Muchas gracias a Grupo Blanco y Negro por sus felicitaciones #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Todos preocupados por la iglesia y mientras que valgan gorro los bosques no ps wao #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Ya estamos al aire mi gente...sintoniza #HASHTAG# manda tus saludos o pide tus complacencias al 📱2294465333📱🎶🎶🎙🎙🎚🎚
#HASHTAG# #HASHTAG# #HASHTAG#me #HASHTAG# #HASHTAG# #HASHTAG# #HASHTAG# #HASHTAG#… #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Ya comenzó “La Jalada de Noche” sintoniza #USER# y pídeme tus canciones favoritas al 2294465333, saludos para quién...te voy a estar acompañando hasta las 10 de la noche porque ya es… #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	¿Has escuchado ‘Porque’ de Cristhian Olivo en #HASHTAG#? #HASHTAG# #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Que buenos momentos en la infancia #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Te vamos a extrañar primo Michel...😔 #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"RT #USER#: Descarga nuestra aplicación completamente GRATIS!!

Búscanos en tu tienda Play Store.
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	La entrevista será transmitida en vivo por Facebook live en la fan page de #USER#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Así fue la presentación de “El Cuidadito de los Telcados” Mario Polo en el cierre del primer papaqui del Carnaval de Veracruz 2019
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	¿Cuáles son tus 3 mejores habilidades? #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"RT #USER#: Prepárense para días fríos
Pronóstico de temperatura ambiente a las 6am para los siguientes 4 días de acuerdo con el modelo #HASHTAG#…"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Que lástima que fue play back!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	RT #USER#: #HASHTAG# la #HASHTAG# apoyando con todo a nuestra #USER# en la #HASHTAG# #HASHTAG# ⚡️💥👊🏼💪🏼⚽️…
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Ya es tarde....pero estoy de vacaciones!!! :) #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Vámonos !!
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	Perro rescatista muere por agotamiento tras salvar a 7 personas tras terremoto en Ecuador #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Es viernes y comenzamos ya con “La Jalada de Noche” solo por #USER# ...sintoniza y pide tus canciones favoritas o manda tus saludos!!
#HASHTAG# #HASHTAG# #HASHTAG#me #HASHTAG# #HASHTAG#… #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"En esta temporada habrán muchas bromas así!!
#HASHTAG# #URL#"
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	RT #USER#: No esperes más y ANÚNCIATE CON NOSOTROS!! #URL#
78d9b08d3ece8cd9a1ee5419df5fdfd8	1	"Y aunque robes ideas el carisma y el talento no se compran y aunque quieras no se roba!
#HASHTAG#! #HASHTAG#"
