params	results
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 5}	0.6375
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 6}	0.6583333333333333
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 7}	0.6541666666666667
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 8}	0.6541666666666667
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 9}	0.625
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 10}	0.6541666666666667
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 5}	0.6541666666666667
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 6}	0.6791666666666667
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 7}	0.6291666666666667
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 8}	0.6375
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 9}	0.6583333333333333
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 10}	0.6416666666666667
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 5}	0.6708333333333333
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.65
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.6541666666666667
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.6416666666666667
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.6208333333333333
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.625
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.6458333333333334
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.6375
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.6708333333333333
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.6625
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.6791666666666667
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.6625
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.6541666666666667
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.7041666666666667
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 7}	0.7041666666666667
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 8}	0.6833333333333333
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 9}	0.6833333333333333
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 10}	0.7083333333333334
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 5}	0.6583333333333333
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 6}	0.5916666666666667
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 7}	0.6791666666666667
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 8}	0.6458333333333334
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 9}	0.65
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 10}	0.6208333333333333
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 5}	0.7
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 6}	0.6708333333333333
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 7}	0.6833333333333333
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 8}	0.6666666666666666
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 9}	0.6583333333333333
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 10}	0.675
{'B': 100, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 5}	0.6791666666666667
{'B': 100, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 6}	0.6791666666666667
{'B': 100, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 7}	0.6875
{'B': 100, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 8}	0.6625
{'B': 100, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 9}	0.6875
{'B': 100, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 10}	0.6833333333333333
{'B': 100, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 5}	0.6958333333333333
{'B': 100, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 6}	0.6458333333333334
{'B': 100, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 7}	0.6333333333333333
{'B': 100, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 8}	0.6458333333333334
{'B': 100, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 9}	0.6541666666666667
{'B': 100, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 10}	0.6541666666666667
{'B': 100, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 5}	0.65
{'B': 100, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 6}	0.6708333333333333
{'B': 100, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 7}	0.6708333333333333
{'B': 100, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 8}	0.65
{'B': 100, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 9}	0.6375
{'B': 100, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 10}	0.6375
{'B': 100, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 5}	0.675
{'B': 100, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 6}	0.6833333333333333
{'B': 100, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 7}	0.725
{'B': 100, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 8}	0.675
{'B': 100, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 9}	0.675
{'B': 100, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 10}	0.6875
{'B': 100, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 5}	0.6708333333333333
{'B': 100, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 6}	0.7
{'B': 100, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 7}	0.625
{'B': 100, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 8}	0.5708333333333333
{'B': 100, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 9}	0.6125
{'B': 100, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 10}	0.6
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 5}	0.6666666666666666
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 6}	0.6625
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 7}	0.65
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 8}	0.6625
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 9}	0.6666666666666666
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 10}	0.6833333333333333
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 5}	0.6666666666666666
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 6}	0.6583333333333333
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 7}	0.6708333333333333
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 8}	0.6416666666666667
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 9}	0.6666666666666666
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 10}	0.6708333333333333
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 5}	0.65
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 6}	0.6458333333333334
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 7}	0.6833333333333333
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 8}	0.6416666666666667
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 9}	0.6375
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 10}	0.6125
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 5}	0.65
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 6}	0.7083333333333334
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 7}	0.6541666666666667
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 8}	0.6708333333333333
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 9}	0.6541666666666667
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 10}	0.6333333333333333
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 5}	0.6875
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 6}	0.6916666666666667
