params	results
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 5}	0.625
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 6}	0.6
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 7}	0.61875
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 8}	0.675
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 9}	0.65625
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 10}	0.6875
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 5}	0.56875
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 6}	0.59375
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 7}	0.58125
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 8}	0.5625
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 9}	0.58125
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 10}	0.59375
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 5}	0.575
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.6125
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.56875
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.5
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.575
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.54375
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.54375
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.55
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.61875
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.5875
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.55625
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.5875
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.6375
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.5625
