params	scores
{'svm__C': 1, 'vect__min_df': 3, 'vect__ngram_range': (1, 1)}	0.625
{'svm__C': 1, 'vect__min_df': 3, 'vect__ngram_range': (1, 2)}	0.60625
{'svm__C': 1, 'vect__min_df': 3, 'vect__ngram_range': (2, 2)}	0.65
{'svm__C': 1, 'vect__min_df': 4, 'vect__ngram_range': (1, 1)}	0.625
{'svm__C': 1, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.60625
{'svm__C': 1, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.625
{'svm__C': 1, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}	0.61875
{'svm__C': 1, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}	0.60625
{'svm__C': 1, 'vect__min_df': 5, 'vect__ngram_range': (2, 2)}	0.61875
{'svm__C': 1, 'vect__min_df': 6, 'vect__ngram_range': (1, 1)}	0.625
{'svm__C': 1, 'vect__min_df': 6, 'vect__ngram_range': (1, 2)}	0.61875
{'svm__C': 1, 'vect__min_df': 6, 'vect__ngram_range': (2, 2)}	0.6125
{'svm__C': 1, 'vect__min_df': 7, 'vect__ngram_range': (1, 1)}	0.6375
{'svm__C': 1, 'vect__min_df': 7, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 1, 'vect__min_df': 7, 'vect__ngram_range': (2, 2)}	0.63125
{'svm__C': 1, 'vect__min_df': 8, 'vect__ngram_range': (1, 1)}	0.64375
{'svm__C': 1, 'vect__min_df': 8, 'vect__ngram_range': (1, 2)}	0.6125
{'svm__C': 1, 'vect__min_df': 8, 'vect__ngram_range': (2, 2)}	0.60625
{'svm__C': 1, 'vect__min_df': 9, 'vect__ngram_range': (1, 1)}	0.65625
{'svm__C': 1, 'vect__min_df': 9, 'vect__ngram_range': (1, 2)}	0.61875
{'svm__C': 1, 'vect__min_df': 9, 'vect__ngram_range': (2, 2)}	0.60625
{'svm__C': 1, 'vect__min_df': 10, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 1, 'vect__min_df': 10, 'vect__ngram_range': (1, 2)}	0.625
{'svm__C': 1, 'vect__min_df': 10, 'vect__ngram_range': (2, 2)}	0.625
{'svm__C': 10, 'vect__min_df': 3, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 10, 'vect__min_df': 3, 'vect__ngram_range': (1, 2)}	0.65625
{'svm__C': 10, 'vect__min_df': 3, 'vect__ngram_range': (2, 2)}	0.6125
{'svm__C': 10, 'vect__min_df': 4, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 10, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 10, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.5875
{'svm__C': 10, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 10, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}	0.60625
{'svm__C': 10, 'vect__min_df': 5, 'vect__ngram_range': (2, 2)}	0.60625
{'svm__C': 10, 'vect__min_df': 6, 'vect__ngram_range': (1, 1)}	0.65625
{'svm__C': 10, 'vect__min_df': 6, 'vect__ngram_range': (1, 2)}	0.6375
{'svm__C': 10, 'vect__min_df': 6, 'vect__ngram_range': (2, 2)}	0.6125
{'svm__C': 10, 'vect__min_df': 7, 'vect__ngram_range': (1, 1)}	0.6375
{'svm__C': 10, 'vect__min_df': 7, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 10, 'vect__min_df': 7, 'vect__ngram_range': (2, 2)}	0.60625
{'svm__C': 10, 'vect__min_df': 8, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 10, 'vect__min_df': 8, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 10, 'vect__min_df': 8, 'vect__ngram_range': (2, 2)}	0.61875
{'svm__C': 10, 'vect__min_df': 9, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 10, 'vect__min_df': 9, 'vect__ngram_range': (1, 2)}	0.6625
{'svm__C': 10, 'vect__min_df': 9, 'vect__ngram_range': (2, 2)}	0.59375
{'svm__C': 10, 'vect__min_df': 10, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 10, 'vect__min_df': 10, 'vect__ngram_range': (1, 2)}	0.65
{'svm__C': 10, 'vect__min_df': 10, 'vect__ngram_range': (2, 2)}	0.6
{'svm__C': 100, 'vect__min_df': 3, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 100, 'vect__min_df': 3, 'vect__ngram_range': (1, 2)}	0.65625
{'svm__C': 100, 'vect__min_df': 3, 'vect__ngram_range': (2, 2)}	0.6125
{'svm__C': 100, 'vect__min_df': 4, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 100, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 100, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.5875
{'svm__C': 100, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 100, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}	0.60625
{'svm__C': 100, 'vect__min_df': 5, 'vect__ngram_range': (2, 2)}	0.60625
{'svm__C': 100, 'vect__min_df': 6, 'vect__ngram_range': (1, 1)}	0.65625
{'svm__C': 100, 'vect__min_df': 6, 'vect__ngram_range': (1, 2)}	0.6375
{'svm__C': 100, 'vect__min_df': 6, 'vect__ngram_range': (2, 2)}	0.6125
{'svm__C': 100, 'vect__min_df': 7, 'vect__ngram_range': (1, 1)}	0.6375
{'svm__C': 100, 'vect__min_df': 7, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 100, 'vect__min_df': 7, 'vect__ngram_range': (2, 2)}	0.60625
{'svm__C': 100, 'vect__min_df': 8, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 100, 'vect__min_df': 8, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 100, 'vect__min_df': 8, 'vect__ngram_range': (2, 2)}	0.61875
{'svm__C': 100, 'vect__min_df': 9, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 100, 'vect__min_df': 9, 'vect__ngram_range': (1, 2)}	0.6625
{'svm__C': 100, 'vect__min_df': 9, 'vect__ngram_range': (2, 2)}	0.59375
{'svm__C': 100, 'vect__min_df': 10, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 100, 'vect__min_df': 10, 'vect__ngram_range': (1, 2)}	0.65
{'svm__C': 100, 'vect__min_df': 10, 'vect__ngram_range': (2, 2)}	0.6
{'svm__C': 1000, 'vect__min_df': 3, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 1000, 'vect__min_df': 3, 'vect__ngram_range': (1, 2)}	0.65625
{'svm__C': 1000, 'vect__min_df': 3, 'vect__ngram_range': (2, 2)}	0.6125
{'svm__C': 1000, 'vect__min_df': 4, 'vect__ngram_range': (1, 1)}	0.65
{'svm__C': 1000, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.63125
{'svm__C': 1000, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.5875
