params	results
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 5}	0.73125
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 6}	0.73125
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 7}	0.73125
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 8}	0.7125
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 9}	0.7125
{'B': 100, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 10}	0.69375
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 5}	0.725
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 6}	0.71875
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 7}	0.725
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 8}	0.7
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 9}	0.7375
{'B': 100, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 10}	0.71875
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 5}	0.7375
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.75625
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.75625
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.74375
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.73125
{'B': 100, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.73125
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.7125
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.725
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.70625
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.70625
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.69375
{'B': 100, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.71875
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.75625
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.725
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 7}	0.74375
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 8}	0.75
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 9}	0.73125
{'B': 100, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 10}	0.74375
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 5}	0.74375
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 6}	0.73125
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 7}	0.76875
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 8}	0.78125
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 9}	0.78125
{'B': 100, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 10}	0.7625
{'B': 100, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 5}	0.75
